Index,C,Score,gamma
549,69.4949494949495,0.8370000000000001,0.5
550,69.4949494949495,0.829,0.51
551,69.4949494949495,0.829,0.52
552,69.4949494949495,0.829,0.53
553,69.4949494949495,0.829,0.54
554,69.4949494949495,0.8370000000000001,0.55
555,69.4949494949495,0.8370000000000001,0.56
556,69.4949494949495,0.8370000000000001,0.5700000000000001
557,69.4949494949495,0.8370000000000001,0.5800000000000001
558,69.4949494949495,0.8370000000000001,0.59
559,69.4949494949495,0.8370000000000001,0.6
560,69.4949494949495,0.8370000000000001,0.61
561,69.4949494949495,0.8370000000000001,0.62
562,69.4949494949495,0.8370000000000001,0.63
563,69.4949494949495,0.845,0.64
564,69.4949494949495,0.845,0.65
565,69.4949494949495,0.845,0.66
566,69.4949494949495,0.845,0.67
567,69.4949494949495,0.845,0.68
568,69.4949494949495,0.845,0.6900000000000001
569,69.4949494949495,0.845,0.7000000000000001
570,69.4949494949495,0.845,0.7100000000000001
571,69.4949494949495,0.845,0.72
572,69.4949494949495,0.8533333333333333,0.73
573,69.4949494949495,0.8533333333333333,0.74
574,69.4949494949495,0.8533333333333333,0.75
575,69.4949494949495,0.8533333333333333,0.76
576,69.4949494949495,0.8533333333333333,0.77
577,69.4949494949495,0.8533333333333333,0.78
578,69.4949494949495,0.8533333333333333,0.79
579,69.4949494949495,0.8533333333333333,0.8
580,69.4949494949495,0.8533333333333333,0.81
581,69.4949494949495,0.8533333333333333,0.8200000000000001
582,69.4949494949495,0.8533333333333333,0.8300000000000001
583,69.4949494949495,0.8533333333333333,0.8400000000000001
584,69.4949494949495,0.8533333333333333,0.85
585,69.4949494949495,0.8613333333333333,0.86
586,69.4949494949495,0.8613333333333333,0.87
587,69.4949494949495,0.8613333333333333,0.88
588,69.4949494949495,0.8613333333333333,0.89
589,69.4949494949495,0.8613333333333333,0.9
590,69.4949494949495,0.8613333333333333,0.91
591,69.4949494949495,0.8613333333333333,0.92
592,69.4949494949495,0.8613333333333333,0.93
593,69.4949494949495,0.8613333333333333,0.9400000000000001
594,69.4949494949495,0.8613333333333333,0.9500000000000001
595,69.4949494949495,0.8613333333333333,0.9600000000000001
596,69.4949494949495,0.8613333333333333,0.97
597,69.4949494949495,0.8613333333333333,0.98
598,69.4949494949495,0.853,0.99
599,69.4949494949495,0.853,1.0
600,79.3939393939394,0.8133333333333332,0.01
601,79.3939393939394,0.8536666666666667,0.02
602,79.3939393939394,0.8296666666666667,0.03
603,79.3939393939394,0.8286666666666667,0.04
604,79.3939393939394,0.8036666666666668,0.05
605,79.3939393939394,0.8203333333333334,0.060000000000000005
606,79.3939393939394,0.8286666666666667,0.06999999999999999
607,79.3939393939394,0.8859999999999999,0.08
608,79.3939393939394,0.8616666666666667,0.09
